Recipient	pg_14682_TAS	pg_14687_TAS	pg_14689_TAS	pg_14690_TAS	pg_14693_TAS	pg_14702_TAS	pg_14709_TAS	pg_14711_TAS	pg_14712_TAS	pg_14718_TAS	pg_14720_TAS	pg_14725_VIC	pg_14735_VIC	pg_14747_VIC	pg_14749_VIC	pg_14753_VIC	pg_14755_VIC	pg_14756_VIC	pg_14757_VIC	pg_14758_VIC	pg_14759_VIC	pg_14761_VIC	pg_14762_VIC	pg_14763_VIC	pg_14764_VIC	pg_14766_VIC	pg_14767_VIC	pg_14768_VIC	pg_14769_VIC	pg_14770_VIC	pg_14771_VIC	pg_14776_VIC	pg_14777_VIC	pg_14778_VIC	pg_14779_VIC	pg_14781_VIC	pg_14783_VIC	pg_14784_VIC	pg_14785_VIC	pg_14786_VIC	pg_14787_VIC	pg_14789_VIC	pg_14790_VIC	pg_14791_VIC	pg_14792_VIC	pg_14793_VIC	pg_14796_VIC	pg_14798_VIC	pg_14799_VIC	pg_14800_VIC	pg_14810_VIC	pg_14812_VIC	pg_14814_VIC	pg_14815_VIC	pg_14818_VIC	pg_15516_CHI	pg_15518_CHI	pg_15520_CHI	pg_15529_CHI	pg_15535_CHI	pg_15537_CHI	pg_15538_CHI	pg_15541_CHI	pg_15545_CHI	pg_15546_CHI	pg_15547_CHI	pg_15550_CHI	pg_15551_CHI	pg_15552_CHI	pg_15556_CHI	pg_15559_CHI	pg_15560_CHI	pg_15562_CHI	pg_15563_CHI	pg_15565_CHI	pg_15567_CHI	pg_15571_CHI	pg_15575_CHI	pg_15578_CHI	pg_15579_CHI	pg_15581_CHI	pg_15586_CHI	pg_15588_CHI	pg_15595_CHI	pg_15603_CHI	pg_15605_CHI	pg_15606_CHI	pg_15609_CHI	pg_15611_CHI	pg_15905_NZN	pg_15906_NZN	pg_15907_NZN	pg_15909_NZN	pg_15910_NZN	pg_15911_NZN	pg_15912_NZN	pg_15913_NZN	pg_15915_NZN	pg_15916_NZN	pg_15917_NZN	pg_15918_NZN	pg_15920_NZN	pg_15921_NZN	pg_15923_NZN	pg_15924_NZN	pg_15926_NZN	pg_15927_NZN	pg_15928_NZN	pg_15929_NZN	pg_15930_NZN	pg_15931_NZN	pg_15932_NZN	pg_15934_NZN	pg_15937_NZN	pg_15938_NZN	pg_15940_NZN	pg_15942_NZN	pg_15943_NZN	pg_15944_NZN	pg_15946_NZN	pg_15948_NZN	pg_15949_NZN	pg_15950_NZN	pg_15951_NZN	pg_15952_NZN	pg_15953_NZN	pg_15954_NZN	pg_15955_NZN	pg_15957_NZN	pg_15958_NZN	pg_15959_NZN	pg_15963_NZN	pg_15975_NZN	pg_15980_NZN	pg_15981_NZN	pg_15982_NZN	pg_15984_NZN	pg_15986_NZN	pg_15987_NZN	pg_15988_NZN	pg_15991_NZN	pg_15993_NZN	pg_15995_NZN	pg_15997_NZN	pg_16000_NZS	pg_16002_NZS	pg_16003_NZS	pg_16009_NZS	pg_16010_NZS	pg_16012_NZS	pg_16022_NZS	pg_16025_NZS	pg_16034_NZS	pg_16037_NZS	pg_16039_NZS	pg_16040_NZS	pg_16042_NZS	pg_16043_NZS	pg_16045_NZS	pg_16046_NZS	pg_16056_NZS	pg_16057_NZS	pg_16067_NZS	pg_16068_NZS	pg_16069_NZS	pg_16070_NZS	pg_16073_NZS	pg_16074_NZS	pg_16075_NZS	pg_16076_NZS	pg_16077_NZS	pg_16078_NZS	pg_16079_NZS	pg_16080_NZS	pg_16081_NZS	pg_16084_NZS	pg_16089_NZS	pg_16091_NZS	pg_16092_NZS	pg_16093_NZS	pg_16094_NZS	pg_16096_NZS	pg_16097_NZS	pg_16099_NZS	pg_16100_NZS	pg_16101_NZS	pg_16104_NZS	pg_16106_NZS	pg_16107_NZS	pg_16108_NZS	pg_16111_NZS	pg_16112_NZS	pg_16113_NZS	pg_16114_NZS	pg_16115_NZS	pg_16116_NZS	pg_16117_NZS	pg_16119_NZS	pg_16122_NZS	pg_16123_NZS	pg_16124_NZS	pg_16126_NZS	pg_16128_NZS	pg_16130_NZS	pg_16131_NZS	pg_16132_NZS	pg_16134_NZS	pg_16135_NZS	pg_16138_PHO	pg_16139_PHO	pg_16140_PHO	pg_16141_PHO	pg_16142_CHI	pg_17204_CAM	pg_17206_NZS	pg_17208_NZS
pg_14682_TAS	0	14421	13316	13541	14066	14341	13677	13359	14670	12908	12891	14416	14497	13598	14237	13348	13744	13971	14076	14272	13962	13398	13625	12909	13107	13339	13974	13349	14571	14290	14303	13647	14302	14604	13199	14548	13982	13379	13616	13645	14260	13899	13804	13421	13305	13500	14058	13300	13473	13917	14240	13901	13506	14443	14325	13719	14343	14243	14139	14635	14782	13039	14162	13358	13314	13186	13537	12765	13710	14003	13179	13355	13131	13004	13183	13224	14078	13591	12981	14110	14802	14547	14575	14267	13109	14233	13618	13360	13624	14485	13576	13413	13729	13380	13298	14051	13436	14671	13919	14114	14821	13843	14622	14166	14757	14221	14230	13910	14106	13950	14057	14419	14277	14225	13582	14469	14750	14062	13567	13735	14302	14542	14590	12915	13821	13246	13913	13791	13967	13965	13564	13402	14237	13396	13479	13345	14630	14348	13245	13322	13302	13928	13737	14569	14217	13051	13716	13789	14492	13739	14291	14044	14207	14170	13384	14090	13202	13186	14701	13177	13712	14611	14332	13381	14381	14570	14410	13967	13919	14627	13738	14828	13988	14217	14324	13784	13601	13631	14087	13877	13832	13767	14655	13465	14506	13634	14657	13419	14311	14292	14035	14359	14437	13910	14529	14150	14342	14075	14453	14780	13879	14734	13922	14724	14530	14697	14273	14234	13944	13870	13771	14102	14669	13603	13372	14723
pg_14687_TAS	14422	0	13766	14122	14317	14585	14111	13848	14223	13574	13500	14747	14709	14042	14163	13812	14168	14321	14387	14550	14430	14142	14140	13648	13807	13726	14548	14025	14808	14524	14660	14142	14713	14735	13944	14682	14127	14029	14493	14306	14634	14479	14025	14076	13878	14099	14298	14105	14369	14347	14363	14176	14218	14400	14615	14347	14688	14416	14663	14562	14913	13628	14501	13863	14007	13783	14179	13453	14310	14018	13860	13939	13860	13611	13731	13804	14335	13779	13647	14329	14744	14448	14789	14569	13669	14195	13740	13864	14385	14484	13910	14249	13972	13870	13753	14334	13821	14786	14320	14379	14536	14306	14792	14565	14850	14516	14490	14212	14373	14323	14364	14516	14600	14526	14091	14596	14789	14328	14044	14123	14515	14746	14706	13560	14305	13684	14273	14146	14328	14267	13906	14284	14566	13939	14336	14099	14720	14578	13856	13900	13961	14380	14521	14836	14553	13711	14059	14172	14798	14072	14313	14533	14596	14242	13874	14645	13946	13884	14899	13934	14028	14800	14599	14095	14662	14830	14565	14326	14493	14796	14516	14785	13978	14684	14619	14233	14102	14046	14463	14258	14195	14091	14844	14059	14651	14023	14858	14142	14581	14455	14425	14443	14550	14286	14576	14484	14568	14668	14685	14840	14284	14850	14350	14842	14505	14740	14537	14438	14222	14078	13984	14324	14834	14230	13998	14841
pg_14689_TAS	13315	13764	0	12306	13345	13932	12695	11759	13431	10992	10469	14176	14228	12447	13237	11783	12777	13219	13355	13832	13352	12102	12458	10717	11314	11688	13492	12096	14370	13866	13971	12578	13995	14366	11723	14170	12887	12073	12971	12824	13916	13285	12624	12271	11811	12391	13316	12139	12665	13118	13506	12909	12363	13603	13842	12775	13938	13460	13622	14082	14589	10920	13467	11646	11799	11406	12475	10290	12654	12727	11563	11948	11304	10984	11210	11518	13294	11769	10888	13247	14468	13877	14343	13762	11116	13112	11859	11709	12717	13803	12143	12387	12309	11760	11494	13244	11749	14424	13057	13411	14130	12971	14392	13664	14566	13671	13633	13003	13382	13146	13364	13832	13839	13681	12372	13932	14505	13295	12267	12532	13797	14206	14217	10706	12995	11465	13024	12784	13164	13158	12095	12306	13710	11899	12615	12189	14292	13845	11638	11863	11752	13206	13098	14296	13671	11172	12639	12722	14213	12649	13473	13542	13726	13269	11931	13572	11684	11562	14521	11642	12573	14411	13812	12046	13995	14326	13915	13084	13289	14387	13077	14532	12528	13868	13875	12890	12445	12262	13528	13017	12880	12546	14430	12253	14096	12288	14439	12247	13820	13636	13233	13732	13880	12974	14108	13570	13843	13657	14075	14545	13105	14507	13151	14500	13934	14376	13681	13595	12998	12623	12393	13234	14400	12701	11977	14526
pg_14690_TAS	13540	14120	12306	0	13655	14136	13065	12476	14091	11788	11504	14284	14307	12921	13767	12485	13273	13593	13726	14041	13616	12602	12909	11570	12031	12475	13691	12614	14429	14091	14107	13081	14105	14483	12284	14344	13450	12613	13156	13151	14048	13466	13146	12769	12486	12885	13714	12604	12942	13475	13860	13395	12760	14053	14091	13036	14077	13766	13795	14371	14664	11719	13735	12332	12348	12163	12846	11351	13108	13343	12228	12567	11976	11853	12067	12294	13598	12662	11738	13631	14638	14251	14441	13949	11992	13676	12782	12398	13056	14157	12776	12769	12953	12513	12281	13608	12543	14529	13439	13750	14503	13342	14480	13849	14667	13915	13892	13419	13764	13492	13690	14123	14032	13936	12836	14196	14639	13678	12873	13107	14032	14352	14412	11665	13357	12291	13401	13250	13573	13537	12777	12651	13924	12514	12892	12629	14441	14046	12290	12442	12390	13541	13260	14418	13928	12008	13086	13235	14341	13082	13894	13747	13913	13716	12562	13761	12303	12214	14612	12271	13083	14491	14025	12599	14160	14439	14150	13466	13566	14475	13241	14690	13332	13971	14060	13329	12950	12837	13769	13461	13346	13096	14517	12666	14310	12931	14544	12637	14055	13953	13567	14038	14166	13369	14325	13795	14091	13800	14254	14664	13401	14637	13462	14572	14277	14526	13932	13923	13477	13243	13122	13661	14504	13110	12560	14590
pg_14693_TAS	14066	14316	13346	13656	0	14397	13765	13370	14294	13049	12876	14569	14535	13658	14045	13394	13811	14050	14123	14351	14123	13555	13623	13013	13183	13330	14213	13525	14646	14353	14432	13734	14452	14636	13400	14524	13875	13491	13952	13812	14402	14043	13703	13667	13444	13687	14063	13601	13830	13994	14221	13955	13690	14289	14398	13889	14426	14192	14280	14467	14807	13082	14209	13345	13455	13208	13732	12854	13834	13835	13314	13466	13233	13077	13158	13322	14131	13450	13041	14081	14731	14404	14629	14342	13169	14017	13421	13320	13916	14361	13490	13727	13629	13405	13274	14070	13367	14679	13991	14163	14583	13908	14661	14310	14777	14294	14287	13886	14111	14032	14078	14375	14391	14299	13660	14426	14753	14103	13628	13783	14343	14598	14583	13001	13944	13275	14029	13850	14056	14023	13559	13682	14343	13513	13809	13584	14622	14393	13347	13442	13393	14050	14033	14672	14297	13164	13765	13822	14595	13709	14228	14207	14267	14086	13423	14312	13414	13334	14789	13382	13732	14680	14369	13551	14426	14662	14423	14004	14093	14710	14002	14747	13727	14367	14385	13915	13665	13605	14210	13952	13934	13737	14690	13588	14535	13554	14739	13659	14360	14297	14124	14311	14362	13940	14533	14220	14376	14269	14523	14795	13999	14785	13957	14739	14437	14658	14306	14183	13935	13785	13696	14050	14742	13790	13526	14750
pg_14702_TAS	14341	14583	13932	14136	14396	0	14169	13970	14646	13749	13743	14683	14695	14133	14400	13953	14220	14333	14402	14545	14389	14102	14154	13779	13881	13903	14431	14004	14782	14529	14581	14166	14600	14740	13938	14712	14274	14026	14285	14233	14588	14381	14192	14054	13942	14087	14405	14035	14209	14341	14487	14270	14137	14563	14605	14287	14630	14512	14520	14728	14900	13838	14499	14028	14018	13926	14149	13666	14294	14290	13903	13998	13942	13797	13913	13945	14399	14045	13792	14408	14843	14632	14737	14552	13826	14420	14066	14002	14245	14611	14049	14112	14139	14009	13943	14366	13986	14816	14334	14427	14813	14310	14789	14515	14875	14495	14524	14309	14446	14310	14406	14613	14560	14532	14112	14637	14849	14429	14097	14175	14545	14720	14738	13771	14295	13910	14310	14240	14317	14318	14058	14131	14529	14001	14170	14072	14737	14616	13944	13963	13991	14364	14344	14771	14514	13839	14155	14210	14718	14134	14479	14467	14537	14437	13989	14497	13926	13907	14825	13920	14170	14799	14618	14037	14605	14754	14648	14388	14395	14755	14317	14865	14278	14571	14560	14268	14128	14129	14454	14293	14252	14192	14796	14065	14694	14156	14826	14088	14560	14512	14413	14534	14615	14320	14666	14465	14567	14518	14642	14887	14295	14855	14358	14847	14630	14803	14586	14489	14336	14227	14159	14403	14825	14172	14050	14813
pg_14709_TAS	13678	14110	12697	13065	13765	14171	0	12695	14148	12086	11993	14347	14367	13034	13789	12654	13352	13702	13757	14061	13741	12958	13169	12080	12440	12685	13776	12842	14480	14091	14158	13258	14189	14467	12661	14387	13540	12895	13354	13339	14118	13607	13294	12955	12651	13021	13748	12802	13158	13614	13941	13515	13103	14122	14140	13410	14192	13927	13910	14376	14728	12201	13879	12713	12755	12466	13100	11808	13305	13447	12461	12843	12473	12193	12400	12536	13732	12833	12170	13735	14643	14258	14471	14093	12307	13733	12911	12694	13308	14194	12974	13033	13141	12804	12611	13735	12744	14564	13618	13844	14525	13491	14528	14019	14677	14005	13996	13561	13812	13604	13760	14160	14109	14015	13102	14243	14637	13768	13050	13268	14051	14414	14413	12083	13484	12524	13567	13374	13627	13619	12974	13015	14035	12832	13147	12850	14467	14110	12600	12689	12691	13645	13479	14495	13993	12337	13230	13324	14389	13255	13929	13904	14021	13787	12713	13911	12587	12511	14643	12577	13200	14497	14152	12875	14201	14507	14245	13652	13711	14528	13488	14683	13436	14100	14142	13447	13138	13117	13877	13555	13529	13326	14561	12977	14369	13150	14583	12953	14143	14018	13824	14066	14208	13562	14343	13862	14129	13944	14334	14686	13507	14641	13566	14624	14264	14557	14068	13991	13620	13392	13300	13779	14609	13243	12905	14639
pg_14711_TAS	13358	13846	11759	12476	13369	13969	12693	0	13484	10953	10429	14201	14211	12386	13241	11787	12851	13318	13447	13888	13403	12166	12425	10690	11399	11864	13529	12051	14378	13869	13957	12666	13963	14371	11754	14206	13014	12084	12867	12766	13936	13251	12639	12280	11792	12377	13349	12062	12587	13101	13594	12997	12451	13761	13870	12757	13915	13534	13557	14112	14594	10886	13456	11689	11743	11366	12442	10238	12659	12768	11481	11898	11306	10940	11178	11429	13286	11825	10821	13252	14514	13984	14359	13851	11115	13149	11967	11650	12681	13895	12173	12335	12419	11867	11560	13307	11815	14416	13115	13417	14235	12958	14395	13705	14589	13703	13687	13014	13439	13149	13369	13904	13897	13722	12394	13999	14551	13364	12337	12688	13787	14271	14280	10717	12985	11522	13119	12872	13209	13150	12198	12195	13770	11992	12498	12062	14265	13885	11588	11838	11712	13247	13025	14362	13682	11250	12675	12796	14226	12674	13562	13541	13731	13330	11892	13570	11646	11508	14550	11647	12647	14433	13885	12043	13999	14373	14011	13193	13328	14382	13000	14571	12678	13895	13904	13004	12485	12391	13527	13107	13053	12701	14451	12265	14152	12429	14463	12281	13884	13720	13396	13756	13931	13109	14168	13601	13837	13638	14127	14596	13110	14552	13182	14543	14023	14409	13799	13630	13140	12796	12639	13367	14462	12672	12078	14530
pg_14712_TAS	14668	14220	13430	14090	14292	14644	14146	13483	0	13267	12711	14962	14866	14007	13795	13567	14227	14417	14426	14708	14657	14175	13976	13251	13679	13315	14872	14124	14947	14592	14853	14133	14944	14771	13835	14634	13854	13937	14936	14492	14819	14681	13815	14166	13707	14175	14245	14216	14696	14374	14218	14050	14445	14116	14755	14346	14818	14286	14927	14342	14959	13041	14491	13368	13818	13479	14193	12647	14469	13445	13702	13838	13566	13097	13122	13578	14262	13174	13139	14146	14629	14178	14915	14706	13155	13708	12986	13530	14671	14250	13614	14510	13598	13484	13311	14244	13376	14771	14294	14350	14058	14344	14864	14703	14857	14577	14543	14159	14346	14349	14387	14415	14714	14546	13952	14496	14814	14209	13787	13975	14616	14778	14683	12902	14343	13258	14257	14058	14328	14295	13564	14476	14639	13743	14639	14227	14767	14577	13646	13759	13898	14470	14923	14847	14652	13257	13960	14075	14999	13953	14109	14737	14722	14028	13681	14943	13812	13776	15030	13866	13784	14915	14617	14135	14825	14949	14536	14324	14765	14932	14872	14660	13366	14957	14707	14224	14001	13832	14552	14249	14136	13924	14878	14063	14689	13809	14911	14264	14638	14441	14352	14353	14479	14214	14573	14609	14607	14942	14759	14862	14436	14849	14446	14884	14364	14718	14524	14426	14080	13842	13703	14249	14799	14353	13829	14945
pg_14718_TAS	12898	13563	10984	11780	13039	13741	12077	10945	13260	0	8919	13983	14059	11629	12914	10915	12413	12961	13168	13650	13018	11348	11784	9270	10286	10940	13110	11315	14227	13640	13744	12155	13766	14218	10844	14069	12562	11384	12226	12201	13676	12807	12126	11485	11011	11665	13030	11242	11839	12749	13271	12552	11803	13575	13691	12027	13663	13109	13182	13909	14473	9496	13053	10626	10762	10294	11638	8440	12005	12247	10321	11019	9993	9565	10009	10390	12819	10911	9496	12831	14415	13767	14210	13566	9905	12776	11184	10754	11956	13697	11473	11529	11833	10996	10604	12972	11003	14328	12695	13064	14055	12505	14286	13395	14484	13442	13406	12636	13124	12809	13065	13666	13592	13398	11662	13757	14448	12932	11620	12059	13566	14065	14102	9150	12506	10489	12632	12354	12797	12745	11480	11225	13445	11072	11734	11165	14149	13592	10473	10889	10786	12778	12454	14136	13426	9893	12046	12279	14049	12052	13304	13224	13461	12970	11031	13184	10551	10357	14415	10571	12000	14280	13643	11278	13815	14193	13772	12797	12932	14258	12416	14471	12182	13552	13686	12472	11845	11741	13213	12624	12548	12165	14332	11426	14000	11894	14335	11431	13649	13466	12941	13545	13722	12626	13977	13261	13671	13288	13933	14494	12547	14451	12777	14392	13827	14302	13489	13382	12728	12331	12099	13068	14327	12073	11237	14448
